STATES,january,february,march,april,may,june,july,august,september,october,november,december
andaman-and-nicobar-islands,72,15.8,5.4,2.4,191.1,429.4,301.2,227.7,604.3,287.2,181.7,533.7
arunachal-pradesh,29.4,73.2,128.4,333.1,278.9,379.4,620.1,145.7,532.9,172.7,8.4,4.6
assam,20.3,19.6,69.5,345.7,340.4,328,406.5,182.6,273.6,108.4,39.1,6.9
meghalaya,14,2.2,45.3,264.7,307.8,581.7,934.6,199.6,260.1,235.8,34.9,10.8
nagaland,20,9.6,22.3,57.1,125.3,237.3,294.4,244.8,207.9,75.1,67.3,3.8
manipur,4,42.3,20,106.5,180.1,360.2,381.1,208.7,310.2,112.7,51.1,0.4
mizoram,1.5,31,63.7,161.6,294.1,352.9,345.6,359.6,417.1,146.1,60.3,0
tripura,2.9,63.2,118.7,224.7,495,254.1,322.7,356.5,255.6,122.8,163.7,2
sikkim,54.2,22.7,214.3,181.7,337.4,485.5,515.6,255.8,561,128.1,0,0.2
west-bengal,9.5,29.9,23.5,20,129.9,277.5,449.9,362.1,292.6,93.1,14.4,0.1
odisha,2.2,16.7,15.2,8.6,74.9,164.2,280.3,320.8,266.2,93.5,10.4,0.5
jharkhand,12.6,7.6,17.5,1,72.8,122.9,301,395.6,287.5,45.6,0,0
bihar,9.3,0.6,5.6,3.9,84,128.7,356.4,150.8,357.9,60.8,0,0
uttar-pradesh,4.1,1.6,9.9,0.2,35,70.4,343.7,208.2,109.2,19.5,0,0
uttarakhand,5.4,29.3,45.8,9.9,99.3,174.4,508.4,308.5,111.4,12.7,0,3.5
haryana,0,1.1,20.7,0.6,26.8,34.8,155.1,133.8,13.7,5.2,0,0.9
chandigarh,0,1.3,57.9,15.8,59.5,133.6,131.1,150.5,41.7,0.1,0.1,22.8
delhi,0,1.1,17.9,0.1,22.5,59.7,312,103.1,48,3.5,0,0
punjab,6.5,6,34.6,0.8,24.8,52.6,153.1,144.8,17.4,1.9,0.5,1.1
himachal-pradesh,18.7,38.4,114.4,47.5,70.2,101.3,194,272.7,56.8,5.3,0,2.2
jammu-and-kashmir,34.5,44.4,191.4,82,58.4,62.9,193,181.8,45.1,3.3,0,6.1
rajasthan,0.3,1.1,5.4,0.2,6.5,45.8,189,277.6,23.9,24.5,0,0
madhya-pradesh,11.7,1,9,0,13.4,105.8,484.7,424.1,117.7,35.6,0,0
gujarat,0,0,0.4,0,0.8,31,173.7,253.7,79.5,65.7,0,0
dadra-and-nagar-haveli,0,0,0.2,0,0.3,170.9,1126.4,1075.1,360,85.7,0,0
daman-and-diu,0,0,0.4,0,0,200.6,621.2,591.5,390,54.2,0,0
goa,0,0,0,0.1,8.8,1213.8,966.8,483.1,296.6,85.8,9.3,0.9
maharashtra,0.2,2.6,11.6,2.9,8.3,197,467,240.8,262.5,79,0.5,0.4
chhattisgarh,6.1,3.6,24.5,4.4,19.6,164.2,361,357.1,295.6,79.8,0,0
andhra-pradesh,4.3,0.5,2.4,1.9,103.9,163.7,131.3,89.5,168.3,40.5,9.9,44.3
telangana,1.2,0.2,11.5,4.3,55.1,194,235.8,133.7,336.3,70.4,0.5,0.4
tamil-nadu,2.5,0.8,3.1,6.3,102.4,63.1,87,54.8,48.8,65.9,33.7,66.4
puducherry,0.7,0,0.4,0,125.3,45.9,20.7,155.7,115,39.2,54.6,98.1
karnataka,1.9,0.4,4.1,9.2,74.7,234.6,237.7,116.9,117.1,30.1,7.1,16.1
kerala,3,16.4,22.4,33.3,258.4,595.7,441.5,231,84.1,105.1,57.9,22
lakshadweep,59.6,12.1,3.2,2.6,77.4,321.1,262.6,86.2,75.6,58.6,32,74.7
ladakh,2.6,1.6,1.9,1,0.1,2.4,2.3,9.2,0.1,0,0,0
