State/UT,Month,2019,2018,2017,2016,2015,percentage2019,percentage2018,percentage2017,percentage2016,percentage2015,Monthly_visitors2019,Monthly_visitors2018,Monthly_visitors2017,Monthly_visitors2016,Monthly_visitors2015
Andaman & Nicobar Island ,January,1111040,1045027,964109,844533,790854,0.05,0.05,0.06,0.06,0.06,555.52,522.5135,578.4654,506.71979999999996,474.51239999999996
Andaman & Nicobar Island ,February,1090516,1049259,931025,848782,761007,0.05,0.05,0.06,0.06,0.06,545.258,524.6295,558.615,509.26919999999996,456.6042
Andaman & Nicobar Island ,March,978236,1021539,885936,809107,729154,0.05,0.05,0.06,0.06,0.06,489.11800000000005,510.76950000000005,531.5616,485.4642,437.4924
Andaman & Nicobar Island ,April,774651,745033,717899,592004,541551,0.05,0.05,0.06,0.06,0.06,387.32550000000003,372.5165,430.73939999999993,355.20239999999995,324.93059999999997
Andaman & Nicobar Island ,May,615136,606513,622408,527466,509869,0.05,0.05,0.06,0.06,0.06,307.56800000000004,303.2565,373.4448,316.4796,305.9214
Andaman & Nicobar Island ,June,726446,683935,663470,546972,512341,0.05,0.05,0.06,0.06,0.06,363.223,341.9675,398.082,328.1832,307.4046
Andaman & Nicobar Island ,July,818125,806493,779309,733834,628323,0.05,0.05,0.06,0.06,0.06,409.0625,403.2465,467.5854,440.3004,376.99379999999996
Andaman & Nicobar Island ,August,800837,785993,719129,652111,599478,0.05,0.05,0.06,0.06,0.06,400.41850000000005,392.9965,431.4774,391.2666,359.6868
Andaman & Nicobar Island ,September,751513,719894,719964,608177,542600,0.05,0.05,0.06,0.06,0.06,375.7565,359.94700000000006,431.97839999999997,364.90619999999996,325.56
Andaman & Nicobar Island ,October,945017,890223,866976,741770,683286,0.05,0.05,0.06,0.06,0.06,472.5085000000001,445.11150000000004,520.1856,445.06199999999995,409.97159999999997
Andaman & Nicobar Island ,November,1092440,1012569,997738,878280,815947,0.05,0.05,0.06,0.06,0.06,546.22,506.28450000000004,598.6428,526.968,489.5682
Andaman & Nicobar Island ,December,1226398,1191498,1167840,1021375,912723,0.05,0.05,0.06,0.06,0.06,613.1990000000001,595.749,700.704,612.825,547.6338
Andhra Pradesh  ,January,1111040,1045027,964109,844533,790854,0.89,0.97,1.01,1.39,1.02,9888.256,10136.7619,9737.5009,11739.008699999998,8066.7108
Andhra Pradesh  ,February,1090516,1049259,931025,848782,761007,0.89,0.97,1.01,1.39,1.02,9705.5924,10177.8123,9403.3525,11798.0698,7762.2714000000005
Andhra Pradesh  ,March,978236,1021539,885936,809107,729154,0.89,0.97,1.01,1.39,1.02,8706.3004,9908.9283,8947.9536,11246.5873,7437.3708
Andhra Pradesh  ,April,774651,745033,717899,592004,541551,0.89,0.97,1.01,1.39,1.02,6894.3939,7226.8201,7250.7798999999995,8228.855599999999,5523.8202
Andhra Pradesh  ,May,615136,606513,622408,527466,509869,0.89,0.97,1.01,1.39,1.02,5474.7104,5883.1761,6286.3207999999995,7331.7774,5200.6638
Andhra Pradesh  ,June,726446,683935,663470,546972,512341,0.89,0.97,1.01,1.39,1.02,6465.3694000000005,6634.1695,6701.047,7602.9108,5225.8782
Andhra Pradesh  ,July,818125,806493,779309,733834,628323,0.89,0.97,1.01,1.39,1.02,7281.3125,7822.982099999999,7871.0208999999995,10200.292599999999,6408.8946
Andhra Pradesh  ,August,800837,785993,719129,652111,599478,0.89,0.97,1.01,1.39,1.02,7127.4493,7624.1321,7263.2029,9064.3429,6114.6756000000005
Andhra Pradesh  ,September,751513,719894,719964,608177,542600,0.89,0.97,1.01,1.39,1.02,6688.465700000001,6982.971799999999,7271.6364,8453.6603,5534.52
Andhra Pradesh  ,October,945017,890223,866976,741770,683286,0.89,0.97,1.01,1.39,1.02,8410.6513,8635.1631,8756.4576,10310.603,6969.517199999999
Andhra Pradesh  ,November,1092440,1012569,997738,878280,815947,0.89,0.97,1.01,1.39,1.02,9722.716,9821.9193,10077.1538,12208.091999999999,8322.6594
Andhra Pradesh  ,December,1226398,1191498,1167840,1021375,912723,0.89,0.97,1.01,1.39,1.02,10914.9422,11557.5306,11795.184,14197.1125,9309.774599999999
Arunachal Pradesh ,January,1111040,1045027,964109,844533,790854,0.02,0.03,0.03,0.03,0.02,222.208,313.50809999999996,289.2327,253.35989999999998,158.17079999999999
Arunachal Pradesh ,February,1090516,1049259,931025,848782,761007,0.02,0.03,0.03,0.03,0.02,218.1032,314.7777,279.3075,254.63459999999998,152.2014
Arunachal Pradesh ,March,978236,1021539,885936,809107,729154,0.02,0.03,0.03,0.03,0.02,195.6472,306.4617,265.7808,242.7321,145.8308
Arunachal Pradesh ,April,774651,745033,717899,592004,541551,0.02,0.03,0.03,0.03,0.02,154.9302,223.5099,215.36969999999997,177.60119999999998,108.31020000000001
Arunachal Pradesh ,May,615136,606513,622408,527466,509869,0.02,0.03,0.03,0.03,0.02,123.02720000000001,181.9539,186.7224,158.2398,101.97380000000001
Arunachal Pradesh ,June,726446,683935,663470,546972,512341,0.02,0.03,0.03,0.03,0.02,145.2892,205.1805,199.041,164.0916,102.4682
Arunachal Pradesh ,July,818125,806493,779309,733834,628323,0.02,0.03,0.03,0.03,0.02,163.625,241.9479,233.7927,220.1502,125.66460000000001
Arunachal Pradesh ,August,800837,785993,719129,652111,599478,0.02,0.03,0.03,0.03,0.02,160.1674,235.7979,215.7387,195.6333,119.8956
