S.No.,State/UT,FTAs 2015,FTAs 2016,Percentage Share - Domestic,Percentage Share - Foreign 2016,Percentage Share - Foreign 2015,Rank 2018 - Foreign
1,Andaman & Nicobar Island,498279,15242,0.03,0.06,0.06,28
2,Andhra Pradesh,194767874,281083,10.5,1.39,1.02,16
3,Arunachal Pradesh,512436,7653,0.03,0.03,0.02,30
4,Assam,5856282,36846,0.32,0.05,0.11,26
5,Bihar,33621613,1087971,1.81,4.09,3.96,9
6,Chandigarh,1538796,39681,0.08,0.13,0.13,25
7,Chhattisgarh,19329501,14399,1.04,0.04,0.03,29
8,Dadra & Nagar Haveli,609435,1608,0.03,0.01,0.01,34
9,Daman & Diu,898824,5694,0.05,0.02,0.03,32
10,Delhi,29114423,2740502,1.57,10.2,10.2,4
11,Goa,7081559,933841,0.38,2.75,2.32,10
12,Gujarat,54369873,513113,2.93,1.39,1.22,12
13,Haryana,4888952,73977,0.26,1.34,1.3,23
14,Himachal Pradesh,16093935,356568,0.87,1.83,1.74,14
15,Jharkhand,35408822,175801,1.91,0.69,0.72,17
16,J&K,17076315,139520,0.92,0.26,0.25,20
17,Karnataka,214306456,543716,11.55,1.87,2.73,11
18,Kerala,15604661,1096407,0.84,4.2,4.19,8
19,Lakshadweep,10435,1313,0,0,0.01,35
20,Madhya Pradesh,83969799,375476,4.53,1.47,1.81,13
21,Maharashtra,119191539,5078514,6.43,18.9,18.9,2
22,Manipur,176109,6391,0.01,0.01,0.01,31
23,Meghalaya,1198340,18114,0.06,0.03,0.03,27
24,Mizoram,76551,967,0,0,0,36
25,Nagaland,101588,5010,0.01,0.01,0.01,33
26,Odisha,15208540,110818,0.02,0.31,0.29,21
27,Puducherry,1616660,141133,0.09,0.48,0.46,19
28,Punjab,44595061,1200969,2.4,2.67,1.04,7
29,Rajasthan,50235643,1754348,2.71,6.13,6.32,5
30,Sikkim,1426127,71172,0.08,0.27,0.16,24
31,Tamil Nadu,385909376,6074345,20.8,19.11,20.08,1
32,Telengana,92878329,318154,5.01,0.67,0.54,15
33,Tripura,414388,102861,0.02,0.15,0.15,22
34,Uttar Pradesh,285079848,3780752,15.37,12.78,13.31,3
35,Uttarakhand,35609650,151320,1.92,0.47,0.45,18
36,West Bengal,85657365,1617105,4.62,6.19,6.39,6
