Months,2017,2018,2019,Growth - 2018/17 (%),Growth - 2019/18 (%),% Share - 2019
January,964109,1045027,"11,11,040",8.4,6.3,10.16
February,931025,1049259,"10,90,516",12.7,3.9,9.98
March,885936,1021539,"9,78,236",15.3,-4.2,8.95
April,717899,745033,"7,74,651",3.8,4,7.09
May,622408,606513,"6,15,136",-2.6,1.4,5.63
June,663470,683935,"7,26,446",3.1,6.2,6.65
July,779309,806493,"8,18,125",3.5,1.4,7.48
August,719129,785993,"8,00,837",9.3,1.9,7.33
September,719964,719894,"7,51,513",0,4.4,6.88
October,866976,890223,"9,45,017",2.7,6.2,8.65
November,997738,1012569,"10,92,440",1.5,7.9,9.99
December,1167840,1191498,"12,26,398",2,2.9,11.22
